19109,42080
1508,8965,52686
1512,8220,53433
1520,11216,50424
1536,10068,51560
1536,11816,49811
1536,12665,48961
1544,12496,49128
1546,9840,51782
1548,12384,49236
1552,12699,48912
1554,11747,49859
1556,7802,53810
1556,10518,51092
1558,5592,56013
1566,11841,49760
1568,11232,50360
1568,11732,49835
1572,9502,52080
1600,10684,50867
1600,11196,50356
1610,10051,51496
1622,12121,49362
1622,12963,48572
1624,12164,49378
1640,10680,50822
1652,9720,51775
1656,7793,53712
1664,7792,53704
1680,5498,55976
1696,12816,48656
1704,9688,51766
1728,13792,47648
1728,14682,46688
1734,14320,47100
1744,13769,47374
1744,13975,47416
1748,13396,48016
1752,5456,55950
1764,8822,52582
1764,13811,47572
1784,13176,48208
1792,7072,54304
1792,12112,49172
1792,13004,48352
1798,8788,52568
1824,5456,55857
1824,10512,50790
1856,8738,52566
1872,5454,55841
1888,13162,47971
1890,12779,48464
1896,10500,50704
1898,10502,50750
1900,5412,55840
1920,8728,52400
1920,8736,52411
1936,7734,53388
1952,5372,55830
1952,7786,53425
1984,5344,55824
2008,7754,53402
2010,5322,55812
2048,5320,55800
2056,15503,45550
2060,14676,46399
2068,6808,54284
2078,10391,50699
2080,13128,47952
2096,14808,46101
2100,14342,46647
2100,14822,46132
2108,11812,49064
2128,8680,52352
2128,11944,49092
2140,11888,49073
2160,10272,50640
2176,10290,50688
2222,7733,53212
2226,7716,53200
2296,16674,44192
2300,16446,44404
2320,16760,44084
2328,16981,43733
2336,16868,43901
2344,16308,44512
2348,14223,46595
2352,16197,44565
2360,12739,47914
2364,12746,47931
2366,12752,47938
2368,11668,48996
2400,5296,55458
2416,11704,49000
2432,5262,55408
2432,5276,55450
2464,5262,55410
2528,17632,42992
2528,17700,42936
2532,17490,43146
2536,17520,43056
2538,17560,43064
2540,12722,47906
2540,14760,45868
2546,12688,47874
2548,12694,47883
2554,12714,47888
2592,11612,48939
2624,16057,44473
2624,18844,41695
2624,18910,41612
2632,14758,45744
2672,19224,41248
2678,18736,41725
2688,18272,42182
2720,16816,43604
2752,19824,40564
2762,17880,42495
2794,21344,39027
2800,20559,39808
2832,20519,39800
2844,14624,45680
2880,21568,38688
2912,20511,39728
2936,22568,37600
2944,20266,39928
2944,20499,39720
2944,21404,38588
2948,16784,43434
2964,9495,50630
3072,20484,39536
3100,9490,50576
3114,14544,45462
3120,14576,45464
3136,9459,50572
3176,17871,42118
3210,22456,37484
3238,24544,35363
3256,23968,35934
3288,16712,43162
3332,16708,43128
3336,26072,33760
3344,27584,32224
3360,23488,36320
3396,25260,31232
3456,23191,36168
3456,25824,31585
3496,20192,39472
3536,14204,45416
3572,20119,39408
3648,23260,36232
3692,23227,36176
3760,11506,47835
3840,20036,39290
3840,26272,31586
3872,23171,36124
3888,26284,31588
3904,8677,50566
3904,19954,39279
3936,23105,36104
3936,26288,31589
3936,26292,31592
3968,26302,31593
3976,26306,31594
3980,26314,31608
3988,19902,39210
4022,19909,39226
4096,26321,31610
4098,22984,35848
4102,19760,39008
4102,23056,35932
4110,15908,43124
4224,15840,42932
4280,11494,47368
4416,11414,47314
4416,26322,31620
4480,26324,31632
4480,26328,31636
4496,22504,35443
4496,26960,31648
4536,22512,35492
4536,22698,35504
4568,22846,35754
4592,15644,42928
4608,19520,38547
4608,22700,35592
4620,19536,38555
4634,19544,38571
4638,15581,42808
4644,15584,42872
4864,19696,38579
5120,19480,38499
5248,21911,35297
5248,22432,35339
5248,26307,31600
5248,26308,31601
5248,26312,31602
5248,26313,31604
5260,5260,42696
5260,6766,50550
5260,11131,45382
6760,11111,42791
3328,6703,6752,42768
3328,19112,19119,19166
3368,5256,19368,30691
5256,5256,5256,41932
