30520,30790
31744,32065
4928,12530,46657
4992,26720,32388
5056,22604,36317
5184,22620,36320
5216,26212,32074
5224,26276,32077
5240,26713,32144
5288,26452,32080
5304,26534,32084
5312,26648,32096
5312,26708,32100
5312,26711,32104
5328,22440,35168
5336,22484,35960
5336,22538,36152
5342,18603,39851
5342,18693,40042
5360,15200,42882
3968,3972,5340,30092
3968,4224,21808,32066
3968,4416,21824,32068
4012,4044,5342,39576
4080,5340,7952,39768
