22976,40306
33024,33240
3736,25476,37583
3748,25144,37910
3756,23417,39628
3776,22660,40370
3804,19042,43970
3812,30411,30452
3820,30944,32032
3840,29312,33632
3860,24768,38152
3904,21561,41333
4024,23610,33409
4032,20304,42444
4056,18802,43938
4096,23696,33410
4114,23944,33411
4160,18746,43874
4160,24508,38088
4224,24000,33412
4246,27168,33415
4264,24496,38048
4312,28852,33616
4324,24411,37968
4332,24451,38024
4368,16394,45984
4404,12494,49888
4416,5604,56720
4428,5622,56728
4528,27856,34272
4536,24399,37704
4736,27692,33416
4736,27696,33418
4784,27728,33419
4784,27736,33423
4800,27784,33424
4816,27792,33426
4848,27834,33488
4872,27835,33512
4878,27839,33544
4882,27842,33552
4890,24090,37475
4896,24361,37539
4944,24264,37523
5088,16104,45584
5312,24048,37412
5376,27848,33588
5504,27831,33480
5536,24008,36252
5536,27816,33428
5536,27822,33434
5536,27826,33440
5536,27829,33448
5552,24032,37146
5566,18520,40818
5566,18640,40943
5570,11050,48528
1952,5564,5564,53623
3936,5564,16080,40596
3944,5566,8713,48506
4008,5552,5552,40242
5560,5564,11240,40296
