31267,31589
2624,17776,44208
2624,18004,43952
2624,18104,43879
2632,17600,44266
2644,17056,44788
2680,5424,56529
2728,15136,46764
2746,7095,54765
2800,11816,50016
2800,18579,43256
2816,16472,45352
2816,18458,43344
2816,19436,42347
2832,7062,54741
2864,22144,39620
2880,17832,43850
2880,18720,43036
2880,20884,40800
2880,22026,39712
2900,15014,46700
2912,13163,48548
2976,20832,40442
2976,21949,39684
2984,18428,43224
2992,18616,42936
3008,18618,42972
3040,14900,46688
3068,14894,46668
3136,17301,44192
3136,20852,40509
3192,16288,45157
3216,18336,42920
3246,16237,45024
3264,11576,49776
3392,23632,37600
3392,25476,35655
3392,26936,34272
3424,23448,37740
3456,25312,35872
3460,20804,40336
3520,9707,51412
3600,28224,32672
3616,17264,43744
3648,24155,36520
3680,24258,36536
3712,22560,38303
3714,20684,40208
3720,13148,47688
3904,22420,38210
3968,20560,40080
4032,19872,31830
4064,20536,40024
4064,24128,36432
4096,20520,40008
4096,26656,32322
4128,26896,32323
4152,20496,39984
4168,20488,39828
4168,24032,36304
4388,26912,32324
4404,26920,32325
4480,26924,32326
4480,26931,32328
4672,20368,39588
4672,26932,32336
4672,27488,32368
4704,23536,36284
4720,23628,36292
4736,8480,51391
4830,27312,32352
4848,17040,42656
4992,26934,32340
5056,27083,32344
5376,5376,41952
5376,5376,42208
5376,20272,35534
5376,23432,35616
5384,15962,42302
5384,16080,42532
8461,8466,47592
3552,5312,20166,35527
3584,5384,7053,47432
4020,4096,20064,31936
4032,4096,20111,32321
